dataset,algorithm,method,f1_weighted,f1_intentional,accuracy,precision,recall,auc,runtime,n_labeled,n_test,pct_labeled,n_clusters,noise_count,silhouette,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
kireev,dbscan,KNN_k7,0.9742,0.9609,0.974,0.9382,0.9847,0.9768,0.29,585,11076,5.02,117.0,987,0.6441,0.3399,5.0,,,,,,
kireev,dbscan,LabelPropagation,0.8534,0.7415,0.8634,0.9598,0.6041,0.796,0.29,585,11076,5.02,117.0,987,0.6441,0.3399,5.0,,,,,,
kireev,dbscan,LabelSpreading,0.8458,0.7254,0.8573,0.9653,0.581,0.7855,0.29,585,11076,5.02,117.0,987,0.6441,0.3399,5.0,,,,,,
kireev,hierarchical_ward,RandomForest,0.9794,0.968,0.9796,0.9983,0.9395,0.9694,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_ward,ClusterMajorityVote,0.9028,0.8378,0.9069,0.9827,0.7302,0.8619,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_ward,KNN_k7,0.9679,0.9509,0.968,0.9621,0.94,0.9609,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_ward,LabelPropagation,0.7336,0.4873,0.7734,0.9569,0.3268,0.6598,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_ward,LabelSpreading,0.7088,0.4289,0.7578,0.9607,0.2761,0.6353,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_average,RandomForest,0.9687,0.9526,0.9688,0.9529,0.9524,0.9646,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
kireev,hierarchical_average,ClusterMajorityVote,0.7557,0.5983,0.7642,0.6832,0.5322,0.7054,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
kireev,hierarchical_average,KNN_k7,0.9435,0.9172,0.943,0.8801,0.9576,0.9467,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
kireev,hierarchical_average,LabelPropagation,0.7109,0.4485,0.7522,0.8438,0.3054,0.6388,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
kireev,hierarchical_average,LabelSpreading,0.6997,0.4167,0.7477,0.8789,0.2731,0.6273,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
kireev,gmm,RandomForest,0.9359,0.9061,0.9351,0.8647,0.9515,0.9393,1.11,117,11544,1.0,,0,0.5126,,,,15.0,-2147440.12,-2180570.78,True,
kireev,gmm,ClusterMajorityVote,0.8996,0.8585,0.8976,0.7869,0.9444,0.9095,1.11,117,11544,1.0,,0,0.5126,,,,15.0,-2147440.12,-2180570.78,True,
kireev,gmm,KNN_k7,0.9116,0.8738,0.91,0.8105,0.9478,0.9196,1.11,117,11544,1.0,,0,0.5126,,,,15.0,-2147440.12,-2180570.78,True,
kireev,gmm,LabelPropagation,0.714,0.4512,0.7555,0.8618,0.3056,0.6408,1.11,117,11544,1.0,,0,0.5126,,,,15.0,-2147440.12,-2180570.78,True,
kireev,gmm,LabelSpreading,0.7056,0.4267,0.7526,0.8963,0.28,0.6321,1.11,117,11544,1.0,,0,0.5126,,,,15.0,-2147440.12,-2180570.78,True,
kireev,hdbscan,RandomForest,0.9911,0.9863,0.9911,0.997,0.9759,0.9872,0.96,450,11211,3.86,90.0,1005,0.617,,5.0,,,,,,50.0
kireev,hdbscan,ClusterMajorityVote,0.9401,0.9061,0.9408,0.9476,0.8681,0.9223,0.96,450,11211,3.86,90.0,1005,0.617,,5.0,,,,,,50.0
kireev,hdbscan,KNN_k7,0.9743,0.9613,0.9742,0.9512,0.9716,0.9735,0.96,450,11211,3.86,90.0,1005,0.617,,5.0,,,,,,50.0
kireev,hdbscan,LabelPropagation,0.8545,0.7522,0.8623,0.9225,0.6351,0.8044,0.96,450,11211,3.86,90.0,1005,0.617,,5.0,,,,,,50.0
kireev,hdbscan,LabelSpreading,0.8481,0.7355,0.8584,0.9554,0.5979,0.7921,0.96,450,11211,3.86,90.0,1005,0.617,,5.0,,,,,,50.0
twitter,kmeans,RandomForest,0.9179,0.8688,0.9184,0.8882,0.8502,0.9001,0.04,70,1029,6.37,15.0,0,0.4031,,,,,,,,
twitter,kmeans,ClusterMajorityVote,0.8137,0.6562,0.8299,0.9176,0.5107,0.7447,0.04,70,1029,6.37,15.0,0,0.4031,,,,,,,,
twitter,kmeans,KNN_k7,0.9124,0.8576,0.9135,0.8993,0.8196,0.8884,0.04,70,1029,6.37,15.0,0,0.4031,,,,,,,,
twitter,kmeans,LabelPropagation,0.9208,0.8697,0.9223,0.9303,0.8165,0.894,0.04,70,1029,6.37,15.0,0,0.4031,,,,,,,,
twitter,kmeans,LabelSpreading,0.864,0.7629,0.8707,0.9145,0.6544,0.813,0.04,70,1029,6.37,15.0,0,0.4031,,,,,,,,
twitter,dbscan,RandomForest,0.9178,0.87,0.9181,0.8827,0.8576,0.9021,0.02,110,989,10.01,22.0,79,0.4843,1.7873,5.0,,,,,,
twitter,dbscan,ClusterMajorityVote,0.9159,0.8601,0.9181,0.9468,0.788,0.8836,0.02,110,989,10.01,22.0,79,0.4843,1.7873,5.0,,,,,,
twitter,dbscan,KNN_k7,0.9366,0.8977,0.9373,0.9379,0.8608,0.917,0.02,110,989,10.01,22.0,79,0.4843,1.7873,5.0,,,,,,
