feature,intentional_mean,unintentional_mean,delta
h1_plausible,0.6819787985865724,0.5749167591564928,0.10706203943007964
h2_min_edit_distance,,,
h2_is_obfuscation,,,
h3_distribution_score,0.9388875131678014,0.9150195890047339,0.02386792416306749
h4_coherence_score,0.8756243765849541,0.809853820573974,0.06577055601098003
h5_error_count,2.9858657243816253,1.6970033296337403,1.288862394747885
h5_codependent_flag,1.0,0.2630410654827969,0.7369589345172032
h6_column_importance,0.5520954984847473,0.31995670483264727,0.2321387936521
h7_mutability,1.0,0.8934517203107658,0.1065482796892342
h7_gain_direction,0.5,0.5,0.0
h7_comprehensibility,1.0,0.7669256381798002,0.2330743618201998
h8_is_sensitive,0.0,0.0,0.0
h8_is_majority_value,0.0,0.0,0.0
