metric,mean,std
accuracy,0.954408925123364,0.01893528368662366
precision,0.8890442100593903,0.05540097299435749
recall,0.9290726817042605,0.05373085585769646
f1,0.9070922716020531,0.03734625333701045
auc,0.9834816322574392,0.012335198466382395
