feature,importance
row_signal_sum,0.33766817337306804
n_applicable,0.17815752128231835
cell_signal_ratio,0.12426876538853077
cell_signal_sum,0.0996876087616096
signal_C27,0.04505502434944872
signal_C9,0.03579601148695071
signal_C4,0.027199793966008568
signal_C1,0.02005956937796735
signal_C24,0.01931007616553548
signal_C20,0.016368028172815432
signal_C23,0.015232787486745931
signal_C3,0.011451250572649485
signal_C17,0.010508460597471464
signal_C2,0.010051585485746266
signal_C10,0.009847635190338846
signal_C11,0.008189174014856547
signal_C21,0.006444471914829524
signal_C13,0.005993277969268767
signal_C7,0.004434937109460901
signal_C30,0.004028793385407902
signal_C6,0.0037855461890409837
signal_C5,0.003452568078484692
signal_C29,0.0030089396814456286
signal_C12,0.0
signal_C14,0.0
signal_C8,0.0
signal_C15,0.0
signal_C19,0.0
signal_C18,0.0
signal_C16,0.0
signal_C22,0.0
signal_C26,0.0
signal_C25,0.0
signal_C31,0.0
signal_C28,0.0
