n_records,accuracy,precision_int,recall_int,f1_intentional,precision_unint,recall_unint,f1_unintentional,f1_weighted,tp,tn,fp,fn,pred_counts,true_counts,variant,fallback_count,status_hist,avg_llm_time_s,total_llm_time_s
100,0.64,0.4848,0.9412,0.64,0.9412,0.4848,0.64,0.64,32,32,34,2,"{-1: 34, 1: 66}","{-1: 66, 1: 34}",zero_shot,0,"{'ok': 100, 'api_error': 0, 'parse_error': 0, 'fallback': 0}",0.644,64.41
100,0.61,0.4648,0.9706,0.6286,0.9655,0.4242,0.5895,0.6028,33,28,38,1,"{1: 71, -1: 29}","{-1: 66, 1: 34}",info,0,"{'ok': 100, 'api_error': 0, 'parse_error': 0, 'fallback': 0}",0.592,59.16
100,0.83,0.6809,0.9412,0.7901,0.9623,0.7727,0.8571,0.8344,32,51,15,2,"{-1: 53, 1: 47}","{-1: 66, 1: 34}",few_shot,0,"{'ok': 100, 'api_error': 0, 'parse_error': 0, 'fallback': 0}",0.689,68.9
