class_label,class_name,support_true,precision,recall,f1,TP,FP,FN
1,intentional,13291,0.5846133386528359,0.6615002633360921,0.6206847864454642,8792,6247,4499
-1,unintentional,14965,0.6596050540969963,0.5825593050451052,0.6186927826272088,8718,4499,6247
