method,algorithm,accuracy,f1_weighted,f1_error,f1_correct,runtime,n_labeled,n_test
LabelPropagation,K-Means,0.9778401360544218,0.9687594895105481,0.1365142478462558,0.9887760463774108,1.6782851219177246,1200.0,58800
LabelSpreading,K-Means,0.9778231292517007,0.9687221494530307,0.13527851458885942,0.9887675292009785,1.659229040145874,1200.0,58800
ClusterConstrained,K-Means,0.9765136054421769,0.9649099495071263,0.0,0.9881172613772274,0.0,,58800
RandomForest,K-Means,0.9744387755102041,0.9742227559516945,0.44640883977900553,0.9869173521347434,0.3525390625,,58800
LabelPropagation,DBSCAN,0.9781292517006803,0.971920521366913,0.2659817351598174,0.9888992472895518,1.734877109527588,1200.0,58800
LabelSpreading,DBSCAN,0.9781462585034013,0.9719520892141642,0.2669709070165431,0.9889077835420856,1.6695163249969482,1200.0,58800
ClusterConstrained,DBSCAN,0.9765136054421769,0.9649099495071263,0.0,0.9881172613772274,0.0,,58800
RandomForest,DBSCAN,0.9650340136054422,0.9675933724449116,0.3677736777367774,0.9820197992094308,0.3935058116912842,,58800
