column,n_changed,true_positives,false_negatives,accuracy,recall
friends_count,273,170,103,0.6227106227106227,0.6227106227106227
favourites_count,1,1,0,1.0,1.0
listed_count,121,70,51,0.5785123966942148,0.5785123966942148
has_created_date,8,6,2,0.75,0.75
description_length,712,351,361,0.49297752808988765,0.49297752808988765
screen_name_length,4,2,2,0.5,0.5
name_length,804,424,380,0.527363184079602,0.527363184079602
has_description,1,1,0,1.0,1.0
has_location,7,4,3,0.5714285714285714,0.5714285714285714
