algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,sampling_strategy,n_noise,bic,aic,converged,probabilities
K-Means (Normal),15,0.7168963000005393,99.77878665924072,{'n_clusters': 15},1385,1916,189202,138534,191118,0.9997545728846348,1.0025220021138772,98.99747799788612,0.9887369055295399,0.9887317345148536,0.9877672856691828,0.9895641016851209,Normal,,,,,
K-Means (Smart),15,0.7168963000005393,99.77878665924072,{'n_clusters': 15},1385,1471,189647,138534,191118,0.9997545728846348,0.7696815579903515,99.23031844200965,0.9182481136005315,0.9183128315844338,0.9170740578299333,0.9193893891812075,Smart,,,,,
DBSCAN (Normal),21,0.4682304761092535,154.19481253623962,"{'eps': 0.5, 'min_samples': 5}",1385,1912,189206,138534,191118,0.9997545728846348,1.000429054301531,98.99957094569847,0.9890542583216178,0.9890472932282633,0.988086952019926,0.9898762764641759,Normal,17.0,,,,
DBSCAN (Smart),21,0.4682304761092535,154.19481253623962,"{'eps': 0.5, 'min_samples': 5}",1385,1483,189635,138534,191118,0.9997545728846348,0.7759604014273904,99.22403959857262,0.9036095657447201,0.9034815880449193,0.9050949362159468,0.9020769605768562,Smart,17.0,,,,
Hierarchical-Ward (Normal),15,0.7021089754394445,279.48004150390625,"{'n_clusters': 15, 'linkage': 'ward'}",1385,1904,189214,138534,191118,0.9997545728846348,0.9962431586768384,99.00375684132317,0.9893295422114643,0.9893218372638014,0.9883776487045022,0.990137315532629,Normal,,,,,
Hierarchical-Ward (Smart),15,0.7021089754394445,279.48004150390625,"{'n_clusters': 15, 'linkage': 'ward'}",1385,1470,189648,138534,191118,0.9997545728846348,0.7691583210372649,99.23084167896273,0.9470334514468911,0.9470851121215021,0.9443875432525951,0.9494390223032048,Smart,,,,,
Hierarchical-Average (Normal),15,0.4256024363093168,314.32296085357666,"{'n_clusters': 15, 'linkage': 'average'}",1385,1911,189207,138534,191118,0.9997545728846348,0.9999058173484444,99.00009418265155,0.9923628618391497,0.9923598990227149,0.9917135467740178,0.9929178123146746,Normal,,,,,
Hierarchical-Average (Smart),15,0.4256024363093168,314.32296085357666,"{'n_clusters': 15, 'linkage': 'average'}",1385,1513,189605,138534,191118,0.9997545728846348,0.7916575100199876,99.20834248998001,0.9816882466179689,0.9816637344861405,0.9799930851676847,0.9831185880293675,Smart,,,,,
GMM (Normal),15,0.5883931475728414,122.32898688316345,{'n_components': 15},1385,1909,189209,138534,191118,0.9997545728846348,0.9988593434422712,99.00114065655772,0.9915331723120994,0.9915302564062215,0.990818431911967,0.9921446714197453,Normal,,-13632836.984026497,-13642567.627506664,True,"[[0.00000000e+000 8.93428546e-129 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 8.93428546e-129 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [9.99887161e-001 0.00000000e+000 0.00000000e+000 ... 8.40018910e-016
  2.45477995e-008 0.00000000e+000]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 2.82483911e-017
  1.00983717e-052 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 2.69580698e-014
  9.99999998e-001 0.00000000e+000]]"
GMM (Smart),15,0.5883931475728414,122.32898688316345,{'n_components': 15},1385,1470,189648,138534,191118,0.9997545728846348,0.7691583210372649,99.23084167896273,0.8806314856998229,0.880315443368721,0.8837920803260679,0.8772941622852187,Smart,,-13632836.984026497,-13642567.627506664,True,"[[0.00000000e+000 8.93428546e-129 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 8.93428546e-129 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [9.99887161e-001 0.00000000e+000 0.00000000e+000 ... 8.40018910e-016
  2.45477995e-008 0.00000000e+000]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 2.82483911e-017
  1.00983717e-052 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 2.69580698e-014
  9.99999998e-001 0.00000000e+000]]"
HDBSCAN (Normal),531,0.9957700701818881,98.16907835006714,"{'min_cluster_size': 5, 'min_samples': 5}",1385,2501,188617,138534,191118,0.9997545728846348,1.3086156196695236,98.69138438033048,0.9928744492808177,0.9928714931340217,0.9922141119221412,0.9934315344991056,Normal,689.0,,,,
HDBSCAN (Smart),531,0.9957700701818881,98.16907835006714,"{'min_cluster_size': 5, 'min_samples': 5}",1385,2421,188697,138534,191118,0.9997545728846348,1.2667566634225975,98.7332433365774,0.9922839260825557,0.992279321490405,0.9915604966323136,0.9928931235112656,Smart,689.0,,,,
