,total_changes,correct_predictions,incorrect_predictions,accuracy
has_description,1,1,0,1.0
screen_name_length,4,3,1,0.75
description_length,712,359,353,0.5042134831460674
friends_count,273,135,138,0.4945054945054945
name_length,804,392,412,0.48756218905472637
listed_count,121,52,69,0.4297520661157025
has_location,7,2,5,0.2857142857142857
has_created_date,8,2,6,0.25
favourites_count,1,0,1,0.0
