,total_changes,correct_predictions,incorrect_predictions,accuracy
friends_count,273,83,190,0.304029304029304
name_length,804,244,560,0.3034825870646766
description_length,712,206,506,0.2893258426966292
has_location,7,2,5,0.2857142857142857
listed_count,121,33,88,0.2727272727272727
screen_name_length,4,1,3,0.25
has_created_date,8,2,6,0.25
favourites_count,1,0,1,0.0
has_description,1,0,1,0.0
