class_label,class_name,support_true,precision,recall,f1,TP,FP,FN
1,intentional,13291,0.5636,0.10601158678805206,0.17845608257868406,1409,1091,11882
-1,unintentional,14965,0.5386706010250039,0.9270965586368193,0.6814174504555389,13874,11882,1091
