column,n_changed,true_positives,false_negatives,accuracy,recall
friends_count,273,261,12,0.9560439560439561,0.9560439560439561
favourites_count,1,1,0,1.0,1.0
listed_count,121,106,15,0.8760330578512396,0.8760330578512396
has_created_date,8,7,1,0.875,0.875
description_length,712,520,192,0.7303370786516854,0.7303370786516854
screen_name_length,4,4,0,1.0,1.0
name_length,804,640,164,0.7960199004975125,0.7960199004975125
has_description,1,1,0,1.0,1.0
has_location,7,6,1,0.8571428571428571,0.8571428571428571
