ds_key,scenario,accuracy,f1_weighted,f1_macro,f1_intentional,precision_intentional,recall_intentional,f1_unintentional,precision_unintentional,recall_unintentional
adult_llm,BC,0.8547631441957314,0.8552119653442285,0.8474428364714066,0.8140247966937741,0.800262123197903,0.8282691264243082,0.8808608762490392,0.8906735751295337,0.8712620375063356
adult_llm,BplusC,0.8565330557001561,0.8572494798447141,0.8500103395112932,0.8187319126545646,0.7957044234211199,0.8431319425629911,0.881288766368022,0.8983140147523709,0.8648968549205276
adult_llm,C,0.6975533576262364,0.6992741546786203,0.6840454408434911,0.6187163669772936,0.5988313008130082,0.6399674178658702,0.7493745147096885,0.766096313282766,0.7333671057075313
adult_mixed,BC,0.9582467082467082,0.9584002042369,0.9527543426340286,0.93664563617245,0.9232961907229852,0.9503867698052814,0.9688630490956073,0.975797007156799,0.9620269403463759
adult_mixed,BplusC,0.9745322245322245,0.9744186481504159,0.9707145926017557,0.9601409978308026,0.9765581908439052,0.9442666666666667,0.9812881873727087,0.9736044455670624,0.9890941750064152
adult_mixed,C,0.8116770616770617,0.8133055745300986,0.7890335484043213,0.7199175470239629,0.6955439382623849,0.7460614152202937,0.8581495497846796,0.8736548425667596,0.8431850237209899
adult_tfm,BC,0.922587020972878,0.9210775440040061,0.9088814357439443,0.873542600896861,0.9390667180871577,0.8165660630449363,0.9442202705910278,0.9160270187288916,0.974204081632653
adult_tfm,BplusC,0.9020533655429889,0.9013605706159182,0.8871762692844007,0.8462068965517241,0.869287991498406,0.824319785018475,0.9281456420170775,0.9167727562062381,0.9398042414355628
adult_tfm,C,0.7209838585703305,0.7282691384464123,0.7027423586808295,0.6291052401109327,0.5559855521155831,0.7243697478991596,0.7763794772507261,0.8432422099025043,0.719341161121983
ebay,BC,0.9297759879184495,0.9268318363393571,0.8656355428025054,0.7728013029315961,0.8611615245009074,0.7008862629246676,0.9584697826734148,0.9408240794856809,0.9767900485436893
ebay,C,0.7675560030203876,0.7924066958945617,0.6911086964588231,0.5374405209115953,0.4065934065934066,0.792466765140325,0.8447768720060509,0.9470510646316186,0.7624393203883495
tabfact,BC,1.0,1.0,1.0,1.0,1.0,1.0,,,
tabfact,BplusC,1.0,1.0,1.0,1.0,1.0,1.0,,,
tabfact,C,1.0,1.0,1.0,1.0,1.0,1.0,,,
twitterbot_llm,BC,0.7299128751210068,0.7326293941548748,0.7265829485633621,0.6964091403699674,0.6324110671936759,0.774818401937046,0.7567567567567568,0.8235294117647058,0.7
twitterbot_llm,BplusC,0.8218780251694094,0.8234945706688327,0.8209840265220012,0.8083333333333333,0.7106227106227107,0.9371980676328503,0.833634719710669,0.946611909650924,0.7447495961227787
twitterbot_llm,C,0.7289448209099709,0.7299382476761304,0.7195569379697644,0.6682464454976303,0.6527777777777778,0.6844660194174758,0.7708674304418985,0.78369384359401,0.7584541062801933
twitterbot_mixed,BC,0.8299632352941176,0.8351459379358128,0.8154611774435029,0.7637292464878672,0.6704035874439462,0.887240356083086,0.8671931083991385,0.940809968847352,0.8042609853528628
twitterbot_mixed,BplusC,0.7674632352941176,0.7759950156915218,0.756880097861272,0.7061556329849012,0.5823754789272031,0.8967551622418879,0.8076045627376426,0.9381625441696113,0.7089452603471295
twitterbot_mixed,C,0.6755514705882353,0.6322392478116304,0.535781757087516,0.28105906313645623,0.45098039215686275,0.20414201183431951,0.7905044510385757,0.7122994652406417,0.888
twitterbot_tfm,BC,0.8131399317406144,0.8158047825947871,0.7505692336846401,0.6256410256410256,0.6,0.6535714285714286,0.8754974417282547,0.8881199538638985,0.8632286995515696
twitterbot_tfm,BplusC,0.7081911262798635,0.7277329000163552,0.6623104401159263,0.5378378378378378,0.43073593073593075,0.7158273381294964,0.786783042394015,0.8887323943661972,0.7058165548098434
twitterbot_tfm,C,0.5955631399317406,0.6160219576578498,0.5890092329545454,0.537109375,0.37012113055181695,0.9786476868327402,0.6409090909090909,0.986013986013986,0.47474747474747475
