,total_changes,correct_predictions,incorrect_predictions,accuracy
has_description,1,1,0,1.0
has_location,7,6,1,0.8571428571428571
screen_name_length,4,3,1,0.75
listed_count,121,90,31,0.743801652892562
description_length,712,503,209,0.7064606741573034
name_length,804,561,243,0.6977611940298507
friends_count,273,189,84,0.6923076923076923
has_created_date,8,3,5,0.375
favourites_count,1,0,1,0.0
