,total_changes,correct_predictions,incorrect_predictions,accuracy
has_description,1,1,0,1.0
screen_name_length,4,3,1,0.75
has_location,7,5,2,0.7142857142857143
listed_count,121,75,46,0.6198347107438017
description_length,712,437,275,0.6137640449438202
friends_count,273,159,114,0.5824175824175825
name_length,804,457,347,0.568407960199005
has_created_date,8,3,5,0.375
favourites_count,1,0,1,0.0
