,total_changes,correct_predictions,incorrect_predictions,accuracy
has_description,1,1,0,1.0
screen_name_length,4,4,0,1.0
has_location,7,7,0,1.0
listed_count,121,113,8,0.9338842975206612
name_length,804,729,75,0.9067164179104478
friends_count,273,245,28,0.8974358974358975
description_length,712,633,79,0.8890449438202247
has_created_date,8,6,2,0.75
favourites_count,1,0,1,0.0
