metric,mean,std
accuracy,0.9335699460356995,0.009482704010034875
precision,0.8975893512879815,0.01956489238602139
recall,0.8891304347826086,0.030472340536933235
f1,0.8929864684770207,0.015783618160413484
auc,0.977897058489239,0.006926102201631357
