n_records,accuracy,precision_int,recall_int,f1_intentional,precision_unint,recall_unint,f1_unintentional,f1_weighted,tp,tn,fp,fn,pred_counts,true_counts,variant,fallback_count,status_hist,avg_llm_time_s,total_llm_time_s
9423,0.3404,0.2764,0.9983,0.433,0.9952,0.1185,0.2118,0.2676,2373,835,6211,4,"{1: 8584, -1: 839}","{-1: 7046, 1: 2377}",zero_shot,246,"{'ok': 9423, 'http_error': 0, 'parse_error': 0, 'fallback': 246}",0.526,4954.88
9423,0.8479,0.6616,0.8128,0.7295,0.9316,0.8598,0.8942,0.8527,1932,6058,988,445,"{-1: 6503, 1: 2920}","{-1: 7046, 1: 2377}",info,0,"{'ok': 9423, 'http_error': 0, 'parse_error': 0, 'fallback': 0}",0.493,4641.72
9423,0.8946,0.9028,0.6525,0.7575,0.8928,0.9763,0.9327,0.8885,1551,6879,167,826,"{-1: 7705, 1: 1718}","{-1: 7046, 1: 2377}",few_shot,0,"{'ok': 9423, 'http_error': 0, 'parse_error': 0, 'fallback': 0}",0.415,3907.5
