column,n_changed,true_positives,false_negatives,accuracy,recall
friends_count,273,145,128,0.5311355311355311,0.5311355311355311
favourites_count,1,1,0,1.0,1.0
listed_count,121,50,71,0.4132231404958678,0.4132231404958678
has_created_date,8,3,5,0.375,0.375
description_length,712,140,572,0.19662921348314608,0.19662921348314608
screen_name_length,4,0,4,0.0,0.0
name_length,804,146,658,0.18159203980099503,0.18159203980099503
has_description,1,1,0,1.0,1.0
has_location,7,2,5,0.2857142857142857,0.2857142857142857
