feature,intentional_mean,intentional_std,unintentional_mean,unintentional_std,delta
h1_plausible,1.0,0.0,0.48871181938911024,0.5002048123933828,0.5112881806108898
h2_min_edit_distance,,,,,
h2_is_obfuscation,,,,,
h3_distribution_score,0.8572225699800722,0.13546297431776938,0.8356831755832826,0.19815550656246392,0.021539394396789535
h4_coherence_score,0.9455442005523801,0.10210084154815796,0.877085211234613,0.21805327095540153,0.06845898931776706
h5_error_count,1.7341040462427746,0.5530877023893274,1.199203187250996,0.47841649529311936,0.5349008589917785
h5_codependent_flag,0.6791907514450867,0.46746362614570214,0.1301460823373174,0.33668772215302756,0.5490446691077693
h6_column_importance,0.12495822084498227,0.1486095707353155,0.33822908010507247,0.3298184170323776,-0.2132708592600902
h7_mutability,1.0,0.0,1.0,0.0,0.0
h7_gain_direction,0.4343181604463438,0.06890889306299873,0.3943927215188364,0.1261584512694367,0.039925438927507384
h7_comprehensibility,1.0,0.0,0.9665338645418327,0.07470378905389084,0.033466135458167345
h8_is_sensitive,0.0,0.0,0.0,0.0,0.0
h8_is_majority_value,0.0,0.0,0.0,0.0,0.0
