metric,mean,std
accuracy,0.939049398090494,0.01940370983246627
precision,0.9049151241721001,0.03614466146867205
recall,0.9018219461697722,0.030954423580786258
f1,0.9031868372636058,0.03032148738248092
auc,0.9798523503306689,0.00924618067363505
