row_idx,col,y_true,y_pred,delta_score
1,PRE_UNIT,1,1,0.8110004039685919
5,PRE_UNIT,1,1,1.7185777661290729
19,FOB,1,1,6.206674269646783
19,CIF,1,1,7.7351905102731
20,FOB,1,1,5.977897317301029
20,CIF,1,1,7.4326152917118975
21,FOB,1,1,6.297558394847158
21,CIF,1,1,7.801891286213305
22,FOB,1,1,6.142614212713795
22,CIF,1,1,7.6641901987779875
23,FOB,1,1,6.328110984583219
23,CIF,1,1,7.852093423411446
24,FOB,1,1,5.977897317301029
24,CIF,1,1,7.432615291711926
25,PRE_UNIT,1,-1,-0.1450423567184913
35,PRE_UNIT,1,1,0.08801452605646887
40,ARANC_NAC,1,-1,0.0
42,ARANC_NAC,1,-1,0.0
43,ARANC_NAC,1,-1,0.0
45,ARANC_NAC,1,-1,0.0
48,ARANC_NAC,1,-1,0.0
49,PRE_UNIT,1,1,3.585038756370551
54,ARANC_NAC,1,-1,0.0
59,PRE_UNIT,1,1,3.9740813192464373
60,PRE_UNIT,1,1,3.420093434301549
61,PRE_UNIT,1,1,1.308775521274498
63,PRE_UNIT,1,1,3.420093434301549
71,PRE_UNIT,1,1,0.39030300450389177
73,ARANC_NAC,1,-1,0.0
75,FOB,1,1,3.357394759003739
75,CIF,1,1,5.427150238390993
78,FOB,1,1,5.510399970502817
78,CIF,1,1,6.745656429305711
79,FOB,1,1,2.635290846819771
79,CIF,1,1,3.459859294310718
80,PRE_UNIT,1,-1,0.0
81,FOB,1,-1,0.0
81,CIF,1,-1,0.0
83,PRE_UNIT,1,-1,0.0
84,PRE_UNIT,1,1,0.8042497614646464
84,ARANC_ALA,1,-1,0.0
84,ARANC_NAC,1,-1,0.0
85,ARANC_ALA,1,-1,0.0
86,PRE_UNIT,1,1,2.0393633181124216
87,PRE_UNIT,1,1,2.0393633181124216
88,PRE_UNIT,1,1,0.7369560143791887
91,ARANC_NAC,1,-1,0.0
100,PRE_UNIT,1,1,0.47480166736826845
105,ARANC_NAC,1,-1,0.0
106,ARANC_NAC,1,-1,0.0
107,ARANC_NAC,1,-1,0.0
108,FOB,1,1,4.804021044733275
108,CIF,1,1,4.568600501206362
109,PRE_UNIT,1,1,2.79728133483016
110,PRE_UNIT,1,1,3.796201938818342
113,ARANC_ALA,1,-1,0.0
119,CIF,1,1,6.832094262013527
120,FOB,1,-1,0.0
120,CIF,1,-1,0.0
120,PRE_UNIT,1,-1,0.0
122,PA_ORIG,1,-1,0.0
122,PRE_UNIT,1,-1,0.0
125,ARANC_ALA,1,-1,0.0
125,ARANC_NAC,1,-1,0.0
129,ARANC_NAC,1,-1,0.0
130,ARANC_NAC,1,-1,0.0
135,FOB,1,-1,0.0
135,CIF,1,-1,0.0
136,FOB,1,1,6.606650186198237
136,CIF,1,1,6.593820488719558
136,PRE_UNIT,1,1,7.124075604948217
137,FOB,1,1,5.875318102540007
137,CIF,1,1,5.6352820927138225
138,FOB,1,1,6.711294229034451
138,CIF,1,1,6.636821063831576
138,PRE_UNIT,1,1,2.9898092552508615
139,FOB,1,1,6.640506691814267
139,CIF,1,1,6.6276764126718035
140,FOB,1,-1,0.0
140,CIF,1,-1,0.0
140,PRE_UNIT,1,1,0.0022574815252198732
141,FOB,1,-1,0.0
141,CIF,1,-1,0.0
141,PRE_UNIT,1,1,0.0022574815252198732
142,FOB,1,1,6.315170916616438
142,CIF,1,1,6.297299814267319
143,FOB,1,1,1.314835397137756
143,CIF,1,1,1.3055330044754498
144,FOB,1,-1,0.0
144,CIF,1,-1,0.0
144,PRE_UNIT,1,-1,-0.0004679556803921514
145,FOB,1,1,0.1590646946296772
145,CIF,1,1,0.15906469462970563
146,FOB,1,1,1.3148353971377276
146,CIF,1,1,1.3055330044754214
147,FOB,1,1,1.3148353971377276
147,CIF,1,1,1.3055330044754498
148,FOB,1,-1,0.0
148,CIF,1,-1,0.0
149,FOB,1,1,1.314835397137756
149,CIF,1,1,1.3055330044754498
150,FOB,1,1,1.3148353971377276
150,CIF,1,1,1.3055330044754498
151,FOB,1,1,1.314835397137756
151,CIF,1,1,1.3055330044754498
152,FOB,1,1,1.314835397137756
152,CIF,1,1,1.3055330044754498
