column,n_changed,true_positives,false_negatives,accuracy,recall
friends_count,273,269,4,0.9853479853479854,0.9853479853479854
favourites_count,1,0,1,0.0,0.0
listed_count,121,94,27,0.7768595041322314,0.7768595041322314
has_created_date,8,0,8,0.0,0.0
description_length,712,193,519,0.2710674157303371,0.2710674157303371
screen_name_length,4,1,3,0.25,0.25
name_length,804,155,649,0.1927860696517413,0.1927860696517413
has_description,1,1,0,1.0,1.0
has_location,7,2,5,0.2857142857142857,0.2857142857142857
