row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,cluster,true_label
35193,age,1,,,0.9817512585360508,0.9044999476614366,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,0,1
21654,age,1,,,0.8966886011121771,0.8914772132516325,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,0,1
29446,age,1,,,0.9210006291825314,0.9493560328507616,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,0,1
4428,age,1,,,0.9210006291825314,0.8581968919821331,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,0,1
21639,age,1,,,0.8845031462546332,0.8133408067928081,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,0,1
37396,age,1,,,0.9331272023953421,0.9971060590200436,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,1,1
4214,age,1,,,0.9331272023953421,1.0,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,1,1
19788,age,1,,,0.9939367133935947,0.907393888641393,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,1,1
29575,age,1,,,0.9939367133935947,0.8364923346324599,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,1,1
28086,age,1,,,0.9817512585360508,0.8813484198217849,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,1,1
24188,age,0,,,0.3739505567771907,0.7844013969932433,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,2,0
39034,age,0,,,0.4468866409882539,0.7134998429843098,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,2,0
20761,age,0,,,0.4955106971289628,0.5311815612470525,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,2,0
17248,age,0,,,0.26457587128296245,0.5007951809575097,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,2,0
8203,age,0,,,0.20376636028470985,0.4429163613583804,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,2,0
20772,age,0,,,0.14301573093119047,0.20706017149192846,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,3,0
5832,age,0,,,0.36182398356438006,0.29532537138060055,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,3,0
16340,age,0,,,0.4711986690586083,0.3155829582402959,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,3,0
16092,age,0,,,0.4468866409882539,0.27651475501088363,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,3,0
35126,age,0,,,0.2523904164254187,0.21429502394181965,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,3,0
2638,age,1,,,0.9939367133935947,0.937780268930936,3,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,4,1
23723,age,1,,,0.9817512585360508,0.9276514755010884,3,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,4,1
31188,age,1,,,0.9331272023953421,0.8538559805121982,3,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,4,1
3802,age,1,,,0.9574392304656965,0.9479090623607838,3,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,4,1
23292,age,1,,,0.9574392304656965,0.9522499738307185,3,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,4,1
32070,age,1,,,0.6656948936214435,0.5572270300666607,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,5,0
41654,age,1,,,0.7143189497621524,0.509477003897379,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,5,0
21920,age,1,,,0.6900069216917979,0.5818255283962906,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,5,0
13317,age,1,,,0.6900069216917979,0.5311815612470528,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,5,0
34100,age,1,,,0.6656948936214435,0.5253936792871398,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,5,0
9279,age,0,,,0.0,0.0,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,6,0
2762,age,0,,,0.0,0.0,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,6,0
30209,age,0,,,0.0,0.0,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,6,0
40792,age,0,,,0.0,0.0,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,6,0
37416,age,0,,,0.0,0.0,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,6,0
17985,age,0,,,0.20376636028470985,0.0,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,7,0
