column,n_changed,true_positives,false_negatives,accuracy,recall
friends_count,273,270,3,0.989010989010989,0.989010989010989
favourites_count,1,1,0,1.0,1.0
listed_count,121,117,4,0.9669421487603306,0.9669421487603306
has_created_date,8,0,8,0.0,0.0
description_length,712,24,688,0.033707865168539325,0.033707865168539325
screen_name_length,4,1,3,0.25,0.25
name_length,804,8,796,0.009950248756218905,0.009950248756218905
has_description,1,1,0,1.0,1.0
has_location,7,1,6,0.14285714285714285,0.14285714285714285
