feature,importance
h3_distribution_score,0.1312851307171298
h2_is_obfuscation,0.12602030816859472
stat_new_value_encoded,0.1058516031966295
h1_plausible,0.09898663481979776
h4_coherence_score,0.06034881588840693
stat_change_magnitude,0.05265404593661437
h2_min_edit_distance,0.05198069224636432
stat_relative_change,0.05079233028682349
h7_gain_direction,0.048619342810385255
stat_new_log,0.04527847931120357
stat_new_magnitude,0.04323108737278906
stat_original_value_encoded,0.03751845311033322
stat_feature_name_encoded,0.024458608042373486
stat_original_log,0.024110439343773445
stat_original_magnitude,0.0218190986891281
stat_change_direction,0.01791222773505802
h6_column_importance,0.016685779173983964
h5_error_count,0.014185066796192733
h7_comprehensibility,0.011952062213825483
h5_codependent_flag,0.006371989865686434
h8_is_sensitive,0.004486641221541741
h7_mutability,0.004179631133315231
h8_is_majority_value,0.0012715319200495379
