row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,cluster,true_label
3554,verified,1,,,0.4153523578281736,0.9072351157920542,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0,0
2185,verified,1,,,0.8099520068218187,1.0,2,1,1.0,1.0,0.17443617574011616,0.8,0,0,0,0
3215,verified,1,,,0.4153523578281736,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0,0
438,verified,1,,,0.8099520068218187,0.9072351157920543,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0,0
4557,verified,1,,,0.8099520068218187,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0,0
4534,listed_count,1,,,0.9858387745957048,0.9805921048574767,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,1,0
222,listed_count,1,,,0.9521157625867203,0.9988783283034571,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,1,0
2507,listed_count,1,,,0.9521157625867203,0.9998862579402882,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,1,0
3416,listed_count,1,,,0.9521157625867203,0.9914168491863604,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,1,0
3372,listed_count,1,,,0.9521157625867203,0.9999930004886332,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,1,0
2274,followers_count,0,,,0.9509922096633139,0.9999808997447426,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,2,0
4126,followers_count,0,,,0.9509922096633139,0.9989467860867703,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,2,0
2040,followers_count,0,,,0.9509922096633139,0.9998279855302649,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,2,0
1808,followers_count,0,,,0.9509922096633139,0.9981979539650991,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,2,0
826,followers_count,0,,,0.9509922096633139,0.9999642092624753,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,2,0
2135,statuses_count,1,,,0.9188582406082514,0.9996097701021408,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,3,1
991,statuses_count,1,,,0.9188582406082514,0.9774498600554231,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,3,1
1665,statuses_count,1,,,0.9188582406082514,0.9982137972907488,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,3,1
1480,statuses_count,1,,,0.9188582406082514,0.9900869250379707,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,3,1
3503,statuses_count,1,,,0.9188582406082514,0.9714518514881694,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,3,1
3176,friends_count,1,,,0.9487026977345987,0.9992018762776825,2,1,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,4,1
1114,name_length,1,,,0.947380612967069,0.9351651636782504,2,1,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,4,1
986,name_length,1,,,0.7828330537820646,0.844396392827801,2,1,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,4,0
325,description_length,1,,,0.5996957168011565,0.8796901227523588,2,1,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,4,1
3404,description_length,1,,,0.5756193598830384,0.9861180910868106,2,1,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,4,1
3236,name_length,1,,,0.7855088130165493,0.6920345274716899,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,5,0
2398,name_length,1,,,0.5670039871813715,0.5980240148051529,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,5,0
3275,description_length,1,,,0.8825929105890453,0.8576214470442116,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,5,1
4023,name_length,1,,,0.7855088130165493,0.65313362567864,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,5,0
1494,name_length,1,,,0.8907475870824112,0.7698363310577891,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,5,0
201,statuses_count,1,,,0.9188582406082514,0.993732640136493,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,1
2262,statuses_count,1,,,0.9188582406082514,0.9934247806656226,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,1
2448,statuses_count,1,,,0.9188582406082514,0.9995914426821357,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,1
3400,statuses_count,1,,,0.9188582406082514,0.985593618245734,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,1
656,statuses_count,1,,,0.9188582406082514,0.9959609661126063,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,1
4370,statuses_count,0,,,0.9188349053998566,0.9977677614286047,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,7,0
1922,statuses_count,0,,,0.9188349053998566,0.9945979414720099,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,7,0
1703,statuses_count,0,,,0.9188349053998566,0.8689906595786527,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,7,0
1957,statuses_count,0,,,0.9188349053998566,0.9536019740336383,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,7,0
4429,statuses_count,0,,,0.9188349053998566,0.8558340431278737,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,7,0
2382,description_length,0,,,0.23862006189964013,0.2532244897468898,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,8,0
1308,description_length,0,,,0.3048300434244653,0.471775568534025,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,8,0
2543,description_length,0,,,0.4973711998991541,0.17811980306271158,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,8,0
3399,description_length,0,,,0.3830782034083494,0.27778479013176316,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,8,0
234,description_length,0,,,0.22658188344058106,0.45860555238561496,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,8,0
3051,friends_count,0,,,0.9484261507882511,0.9969547216076002,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,9,0
2760,friends_count,0,,,0.9484261507882511,0.9946066184825212,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,9,0
3700,friends_count,0,,,0.9484261507882511,0.9864050822872442,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,9,0
538,friends_count,0,,,0.9484261507882511,0.9912337833845853,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,9,0
1851,friends_count,0,,,0.9484261507882511,0.9981045876027967,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,9,0
