metric,mean,std
accuracy,0.9896233399674592,0.0014364511712541184
precision,0.9843772493857254,0.003500414107202856
recall,0.9841064347023034,0.004453476965460517
f1,0.9842327006234036,0.002190129551424538
auc,0.9983512759461396,0.00039652170857266733
