algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,n_noise,bic,aic,converged,probabilities
K-Means,15,0.3489785586629762,2.181288242340088,{'n_clusters': 15},192,430,42829,19299,43259,0.9948702005285248,0.9940128065836011,99.0059871934164,0.8819724952718953,0.8819548244255087,0.858073391919589,0.8989828340760576,,,,,
DBSCAN,212,-0.01593957491463981,3.3120498657226562,"{'eps': np.float64(0.15513334167399342), 'min_samples': 5}",212,457,42802,19299,43259,1.0985025130835795,1.0564275642062924,98.9435724357937,0.8884164291388252,0.8888716204033117,0.8705340200596368,0.9019583692572977,1484.0,,,,
Hierarchical-Ward,15,0.32828714675054477,7.4360363483428955,"{'n_clusters': 15, 'linkage': 'ward'}",192,423,42836,19299,43259,0.9948702005285248,0.977831202755496,99.0221687972445,0.8946446913810814,0.8942761230383073,0.8706839737528296,0.9111141748567152,,,,,
Hierarchical-Average,15,0.7408717417070704,8.712831020355225,"{'n_clusters': 15, 'linkage': 'average'}",192,425,42834,19299,43259,0.9948702005285248,0.9824545181349545,99.01754548186504,0.8822430779287482,0.8825476090784263,0.8614666300466904,0.8976003897844005,,,,,
GMM,15,0.10907136871629065,10.523086071014404,{'n_components': 15},192,426,42833,19299,43259,0.9948702005285248,0.984766175824684,99.01523382417533,0.8958513295823314,0.8958955552258158,0.8752202735587816,0.9106280677151157,,-1292015.8700690728,-1299797.1327349911,True,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  9.99999405e-01 5.94546575e-07]
 [2.10432609e-06 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 3.32934954e-37]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.10318533e-52
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  9.99992876e-01 7.12374542e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.20229500e-08
  0.00000000e+00 0.00000000e+00]]"
HDBSCAN,975,0.6973496634569867,4.0615456104278564,"{'min_cluster_size': 5, 'min_samples': 5}",975,2219,41040,19299,43259,5.052075237058915,5.129568413509328,94.87043158649068,0.9534844054580897,0.9534320917408042,0.9436756852447408,0.9603835059248345,5445.0,,,,
