batch_idx,batch_time_sec,llm_time_sec
0,41.80861858604476,41.798256046138704
10,53.502097389893606,53.49224783410318
20,47.50826121889986,47.49863950908184
30,44.669657381018624,44.66006560996175
40,44.35733286594041,44.34759139199741
50,45.77759547578171,45.767951561138034
60,46.82792043313384,46.81829523900524
70,44.2036270389799,44.19409803207964
80,52.803298932965845,52.79336466011591
90,45.985344528919086,45.97550781397149
100,45.66628513787873,45.656748425913975
110,55.67598204896785,55.66603349009529
120,52.55906750704162,52.54937387211248
130,48.08335408405401,48.073870986001566
140,42.022187403868884,42.01268995506689
150,53.2085645289626,53.19892300502397
160,51.79083078308031,51.781309080077335
170,45.54240907705389,45.53275887295604
180,46.93955252598971,46.93005065387115
190,53.94866976002231,53.93909822497517
200,43.377768259029835,43.36812973301858
210,42.07909784303047,42.06956116203219
220,46.95095898490399,46.941402293974534
230,43.51977875712328,43.51021221186966
240,46.2362286739517,46.22656241990626
250,49.71325404802337,49.703658509999514
260,44.556345184799284,44.54677403299138
270,48.641302946954966,48.631586998002604
280,48.540217597968876,48.53055935702287
290,45.54623208800331,45.53650650684722
300,43.45767528982833,43.44809936196543
310,42.20893610594794,42.19874855293892
320,51.98385960399173,51.97388637205586
330,49.015928586013615,49.00607948098332
340,47.523536117048934,47.513728423044086
350,41.14536177413538,41.135560231050476
360,45.56227465090342,45.55256519513205
370,41.12257235101424,41.112859840970486
380,40.71011452097446,40.700392046011984
390,50.878944982076064,50.86914112488739
400,44.153349745087326,44.14324892289005
410,48.55150559800677,48.54164894204587
420,48.73052533506416,48.72080319118686
430,43.42164005711675,43.411930391099304
440,43.580049140146,43.570342649007216
450,45.08186568017118,45.072169774910435
460,47.9311985000968,47.921476335963234
470,46.80430398113094,46.794637630926445
480,45.966684164013714,45.95683262497187
490,45.23599571501836,45.2262140319217
500,51.05467534600757,51.044977818848565
510,45.943521165056154,45.93374787410721
520,57.00568021996878,56.99588235304691
530,45.83666562894359,45.82691671513021
540,50.76408970099874,50.7543987731915
550,50.892741048010066,50.882944433018565
560,50.162525784922764,50.152809511171654
570,44.458514837082475,44.448821577010676
580,42.2064469109755,42.19680299516767
590,54.198097319109365,54.188287805067375
600,50.79577391711064,50.7861021279823
610,50.661704015918076,50.65210164315067
620,48.36171862506308,48.35188734787516
630,45.16225048596971,45.152456276118755
640,48.77484735008329,48.76510964310728
650,47.72071974189021,47.71088459901512
660,51.63568431092426,51.62600767612457
670,42.724855043925345,42.715105989947915
680,49.683188650989905,49.673422852065414
690,44.470186569029465,44.46047633420676
700,48.12977865990251,48.12001925101504
710,52.16358928219415,52.15381362917833
720,49.77737015299499,49.767624935135245
730,47.780752453021705,47.77074545202777
740,42.955454661976546,42.94576350506395
750,42.46979308803566,42.459705216111615
760,54.0724736910779,54.06250678002834
770,54.969036772148684,54.95906095998362
780,52.71080526383594,52.70101825403981
790,49.12940273107961,49.11976034496911
800,43.118335276143625,43.10863592592068
810,49.41955582704395,49.40990814496763
820,44.66938802506775,44.65969251212664
830,52.31400301796384,52.304290200117975
840,51.77569767693058,51.76599193108268
850,44.648445756873116,44.638896665070206
860,51.64553635800257,51.6358726460021
870,48.47247407399118,48.46233932604082
880,45.54110233602114,45.53145557991229
890,41.45543995895423,41.44579907087609
900,47.7046105558984,47.69508858700283
910,47.07499167183414,47.06497014616616
920,51.164651077007875,51.15453315596096
930,45.47096789488569,45.46109029487707
940,43.18417078000493,43.17437204695307
950,43.756050454918295,43.746315327938646
960,43.36604189896025,43.35635378281586
970,45.04070025100373,45.030796132050455
980,48.79123797500506,48.78166832588613
990,40.43137337407097,40.42164397612214
1000,43.954818065976724,43.945171121973544
1010,48.16239288588986,48.15270103607327
1020,50.04978131991811,50.04007456707768
1030,45.95626556314528,45.94633664796129
1040,52.74710667296313,52.7374005720485
1050,47.002088418928906,46.99222677387297
1060,49.02951794909313,49.019824645947665
1070,50.50337307294831,50.49339670711197
1080,43.687743111979216,43.67793048010208
1090,47.77977309306152,47.76995941111818
1100,46.373279746156186,46.36346886889078
1110,46.46182374400087,46.452034949092194
1120,36.25730071705766,36.24761955183931
1130,42.36504200194031,42.35522579587996
1140,48.90727376518771,48.89744941703975
1150,49.840476784156635,49.830733415903524
1160,50.08666232111864,50.07690325984731
1170,38.328605697024614,38.31873221392743
1180,43.89179155905731,43.88200841192156
1190,46.50378336198628,46.494126776000485
1200,45.5037796869874,45.494077732088044
1210,42.60386107699014,42.59396203700453
1220,48.75916292099282,48.747822562931105
1230,42.492312795016915,42.48237179289572
1240,43.89355461392552,43.883803808130324
1250,52.01520846877247,52.005572529044
1260,48.15044229803607,48.14087554696016
1270,43.82931656902656,43.81960162194446
1280,42.28653745399788,42.27702785981819
1290,50.19554108288139,50.18598194117658
1300,47.27609931095503,47.26648318115622
1310,41.45858734403737,41.448935037944466
1320,50.09868648392148,50.089001474902034
1330,42.01082120696083,42.00131695601158
1340,48.756457473151386,48.74685021582991
1350,40.10998908709735,40.10040133702569
1360,48.322856610873714,48.31335927406326
1370,44.30132295610383,44.291603276040405
1380,51.06786202988587,51.058226031949744
1390,45.30178710096516,45.292146696010605
1400,43.54536382900551,43.53572082915343
1410,42.03087445208803,42.021266574040055
1420,45.14273394807242,45.13316021882929
1430,45.01768770092167,45.00802043103613
1440,52.28542214585468,52.27584230503999
1450,47.10562152112834,47.09608876006678
1460,44.05584308807738,44.046248944010586
1470,45.87379332003184,45.86409420915879
1480,48.59619988221675,48.58639355096966
1490,47.70955859008245,47.69973769108765
1500,46.85400837287307,46.84440679685213
1510,46.727390378015116,46.71773550193757
1520,44.98534979391843,44.97580025391653
1530,43.74156078114174,43.73182340990752
1540,44.06439150404185,44.05467016622424
1550,42.21943272394128,42.209622683003545
1560,48.905062708072364,48.89542509499006
1570,53.22889950685203,53.21924295602366
1580,42.72563425707631,42.71601112396456
1590,38.68647009716369,38.67696327995509
1600,44.4761920128949,44.466540629044175
1610,39.04655376402661,39.03703550901264
1620,46.83484080201015,46.82530061295256
1630,48.479248001938686,48.469365110155195
1640,37.062868227949366,37.0532779248897
1650,46.994659097865224,46.98506291513331
1660,58.09248241293244,58.08288254402578
1670,45.559732127934694,45.55033427197486
1680,51.2549702830147,51.24529736605473
1690,44.54406512202695,44.53438084805384
1700,45.8306800541468,45.821078141918406
1710,41.82848241389729,41.81895896606147
1720,48.794813324930146,48.785279259085655
1730,47.846892999019474,47.83729048888199
1740,43.95800312701613,43.948554064845666
1750,52.15848730294965,52.149006782099605
1760,51.1173070629593,51.10779648507014
1770,42.89070978900418,42.88107424392365
1780,49.89898274303414,49.88945701206103
1790,49.53316135285422,49.52363430801779
1800,43.4601840430405,43.450678969034925
1810,46.58725820295513,46.57775180693716
1820,45.25929401512258,45.24975586985238
1830,52.00917132315226,51.99916402506642
1840,47.265299182152376,47.25567422597669
1850,49.46700277086347,49.45733564090915
1860,42.2291296038311,42.21949443197809
1870,42.069967079907656,42.06040656985715
1880,44.59457579511218,44.58491490292363
1890,47.50513050495647,47.49559741397388
1900,45.68985260208137,45.68030235590413
1910,49.32821370498277,49.31865059887059
1920,48.44207395799458,48.432497611036524
1930,41.128699532942846,41.119136987952515
1940,44.569521967787296,44.55990443890914
1950,42.33689644001424,42.32746216515079
1960,56.46572803799063,56.456151279155165
1970,46.64633802394383,46.636660103918985
1980,42.05351643101312,42.04392313910648
1990,45.856758398003876,45.847107728011906
2000,40.953672419069335,40.94409385602921
2010,43.75898593105376,43.74953297688626
2020,47.32393940794282,47.31430953904055
2030,49.306791573995724,49.29715389199555
2040,40.31356312590651,40.30406356183812
2050,42.521383373998106,42.5118800830096
2060,41.01130352914333,41.00174293294549
2070,47.56718094693497,47.55752394697629
2080,39.9505068808794,39.940891694044694
2090,43.076779949013144,43.067365661030635
2100,40.30419372301549,40.29459136421792
2110,57.28990366705693,57.28034947998822
2120,49.70880531682633,49.699204987846315
2130,38.42049533803947,38.411101788980886
2140,42.40688462695107,42.397352644009516
2150,47.78255511005409,47.77293162490241
2160,46.058679095003754,46.049176275962964
2170,41.448403659975156,41.43895623809658
