algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,n_noise,bic,aic,converged,probabilities
K-Means,15,0.600090252923798,0.09461426734924316,{'n_clusters': 15},15,32,1899,969,1931,1.5479876160990713,1.657172449508027,98.34282755049198,1.0,1.0,1.0,0.0,,,,,
DBSCAN,21,0.693329371841719,0.03314709663391113,"{'eps': np.float64(0.6640730373588004), 'min_samples': 5}",21,45,1886,969,1931,2.1671826625387,2.330398757120663,97.66960124287934,1.0,1.0,1.0,0.0,81.0,,,,
Hierarchical-Ward,15,0.5948195567723381,0.018711328506469727,"{'n_clusters': 15, 'linkage': 'ward'}",15,34,1897,969,1931,1.5479876160990713,1.7607457276022784,98.23925427239773,1.0,1.0,1.0,0.0,,,,,
Hierarchical-Average,15,0.36213519738193,0.01988077163696289,"{'n_clusters': 15, 'linkage': 'average'}",15,40,1891,969,1931,1.5479876160990713,2.071465561885034,97.92853443811497,1.0,1.0,1.0,0.0,,,,,
GMM,15,0.478607000307097,0.2719240188598633,{'n_components': 15},15,33,1898,969,1931,1.5479876160990713,1.7089590885551527,98.29104091144485,1.0,1.0,1.0,0.0,,-59419.60463569252,-64242.23033685249,True,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 3.94005001e-15 0.00000000e+00 ... 0.00000000e+00
  1.00000000e+00 0.00000000e+00]
 ...
 [0.00000000e+00 1.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  2.77680072e-84 0.00000000e+00]
 [0.00000000e+00 1.69785194e-10 0.00000000e+00 ... 0.00000000e+00
  1.00000000e+00 0.00000000e+00]
 [1.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]"
HDBSCAN,43,0.7409925674525987,0.057868003845214844,"{'min_cluster_size': 5, 'min_samples': 5}",43,83,1848,969,1931,4.437564499484004,4.298291040911445,95.70170895908856,1.0,1.0,1.0,0.0,168.0,,,,
