metric,mean,std
accuracy,0.9108429601066513,0.007926707821187682
precision,0.9022142962604207,0.008543416416765424
recall,0.8607851627336365,0.013381886434873565
f1,0.8810042585086121,0.010963496478020958
auc,0.9667197159589778,0.0035317126712261903
