n_records,accuracy,precision_int,recall_int,f1_intentional,precision_unint,recall_unint,f1_unintentional,f1_weighted,tp,tn,fp,fn,pred_counts,true_counts,variant,fallback_count,status_hist,avg_llm_time_s,total_llm_time_s
100,0.48,0.3953,1.0,0.5667,1.0,0.2121,0.35,0.4237,34,14,52,0,"{1: 86, -1: 14}","{-1: 66, 1: 34}",zero_shot,4,"{'ok': 100, 'http_error': 0, 'parse_error': 0, 'fallback': 4}",0.514,51.42
100,0.87,0.8,0.8235,0.8116,0.9077,0.8939,0.9008,0.8704,28,59,7,6,"{-1: 65, 1: 35}","{-1: 66, 1: 34}",info,0,"{'ok': 100, 'http_error': 0, 'parse_error': 0, 'fallback': 0}",0.491,49.06
100,0.84,0.875,0.6176,0.7241,0.8289,0.9545,0.8873,0.8318,21,63,3,13,"{-1: 76, 1: 24}","{-1: 66, 1: 34}",few_shot,0,"{'ok': 100, 'http_error': 0, 'parse_error': 0, 'fallback': 0}",0.408,40.83
