column,n_changed,true_positives,false_negatives,accuracy,recall
friends_count,273,266,7,0.9743589743589743,0.9743589743589743
favourites_count,1,0,1,0.0,0.0
listed_count,121,106,15,0.8760330578512396,0.8760330578512396
has_created_date,8,4,4,0.5,0.5
description_length,712,206,506,0.2893258426966292,0.2893258426966292
screen_name_length,4,0,4,0.0,0.0
name_length,804,55,749,0.06840796019900497,0.06840796019900497
has_description,1,0,1,0.0,0.0
has_location,7,2,5,0.2857142857142857,0.2857142857142857
