algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,n_noise,bic,aic,converged,probabilities
K-Means,15,0.4828816434873652,2.830432176589966,{'n_clusters': 15},182,285,27971,18207,28256,0.9996155324875048,1.0086353340883352,98.99136466591166,0.8924600479067606,0.892196315561709,0.8822055137844611,0.9010721568111557,,,,,
DBSCAN,294,0.8735329273868765,2.3950722217559814,"{'eps': np.float64(0.03932909686659778), 'min_samples': 5}",294,564,27692,18207,28256,1.6147635524798154,1.9960362400906002,98.0039637599094,0.8611151235013722,0.8606376827255239,0.8657404175102982,0.8561597726082729,1769.0,,,,
Hierarchical-Ward,15,0.491042787869057,6.2904932498931885,"{'n_clusters': 15, 'linkage': 'ward'}",182,275,27981,18207,28256,0.9996155324875048,0.9732446206115516,99.02675537938845,0.8756656302490976,0.8754246984039769,0.864635617291156,0.8850335415220911,,,,,
Hierarchical-Average,15,0.34287250947652087,7.38576078414917,"{'n_clusters': 15, 'linkage': 'average'}",182,293,27963,18207,28256,0.9996155324875048,1.036947904869762,98.96305209513024,0.8869220040768158,0.886956121032561,0.8862917146144994,0.8875453446191052,,,,,
GMM,15,0.3735207987258205,6.3760435581207275,{'n_components': 15},182,288,27968,18207,28256,0.9996155324875048,1.0192525481313703,98.98074745186864,0.8501144164759725,0.8499923955408177,0.8386947822071725,0.8600240416722319,,-1421822.1300555165,-1429545.786294461,True,"[[6.46440153e-016 0.00000000e+000 0.00000000e+000 ... 2.68420945e-010
  3.01537002e-012 3.38058507e-024]
 [2.80531062e-011 0.00000000e+000 0.00000000e+000 ... 2.11782699e-013
  1.85450503e-010 1.49154707e-025]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 1.89597822e-312
  0.00000000e+000 2.63334520e-018]
 ...
 [9.99986510e-001 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  2.76304844e-027 1.34892010e-005]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.35931504e-256]
 [4.97421879e-011 0.00000000e+000 0.00000000e+000 ... 4.59028768e-012
  1.63459307e-012 2.98202691e-024]]"
HDBSCAN,585,0.9295056855034923,3.1576051712036133,"{'min_cluster_size': 5, 'min_samples': 5}",585,1022,27234,18207,28256,3.2130499258526943,3.616930917327293,96.3830690826727,0.9186311228611295,0.9187054686248561,0.9152905198776758,0.9217182421930197,1158.0,,,,
