feature,importance
h3_distribution_score,0.136874508072153
stat_new_value_encoded,0.1361249033675068
h2_is_obfuscation,0.13449851899221713
h4_coherence_score,0.08889585959591084
h1_plausible,0.08336904798212288
h2_min_edit_distance,0.08013178731159648
h7_gain_direction,0.06629042326326562
stat_relative_change,0.04061461076215671
stat_original_value_encoded,0.03875054633167255
stat_change_magnitude,0.025212955009339292
h6_column_importance,0.023738246528355912
stat_feature_name_encoded,0.022265513239770596
h5_error_count,0.02166637227932244
stat_original_magnitude,0.019527951791998212
stat_new_log,0.019034303260741053
stat_original_log,0.014526100822918447
h7_comprehensibility,0.01422877820305886
stat_new_magnitude,0.013874530227690283
stat_change_direction,0.007271582534045603
h7_mutability,0.004132605830932535
h8_is_majority_value,0.004047299229637423
h8_is_sensitive,0.0038930174206926594
h5_codependent_flag,0.0010305379428947672
