chunk_id,chunk_time_sec
0,2.9543514102697372
1,2.984427761286497
2,3.435585929080844
3,2.652893436141312
4,3.4736712565645576
5,2.977821722626686
6,3.4729614881798625
7,2.93197188526392
8,3.4534708512946963
9,3.0317164352163672
10,2.794055770151317
11,3.0436946833506227
12,3.149175059981644
13,3.036356456577778
14,3.5931419283151627
15,2.983545766212046
16,2.994054644368589
17,3.173991449177265
18,2.9799354262650013
19,2.6643057921901345
20,2.9991535879671574
21,2.9229558669030666
22,2.8661605501547456
23,2.8536060554906726
24,3.097599887289107
25,2.864531566388905
26,2.8346205558627844
27,15.603741290047765
28,3.069654350169003
29,3.7928895289078355
30,3.2783902939409018
31,3.065497759729624
32,2.698554603382945
33,2.6844046162441373
34,3.684417354874313
35,3.0699130073189735
36,2.703485706821084
37,2.9844021629542112
38,2.9841503528878093
39,3.654842614196241
40,2.988125911913812
41,3.100113627500832
42,2.883374615572393
43,2.6956107541918755
44,2.5924591878429055
45,2.9937294628471136
46,2.984108696691692
47,2.2008770806714892
48,2.891775014810264
49,2.309494774788618
50,2.9043540516868234
51,4.161499194800854
52,3.391787998378277
53,2.5107426857575774
54,3.3817305266857147
55,3.183632157742977
56,2.390148782171309
57,2.7794333742931485
58,9.182939546182752
59,10.638736423105001
60,9.788927984423935
61,2.580640545114875
62,12.01174219045788
63,2.8995697842910886
64,2.691328492946923
65,2.698509244248271
66,3.084591713733971
67,2.5852839602157474
68,1.229513132944703
69,1.234216689132154
70,1.518245493993163
71,1.6256713457405567
72,1.426953710615635
73,1.4511324679479003
74,1.4110180009156466
75,1.3332870034500957
76,1.323262955993414
77,1.6174579514190555
78,1.2396650109440088
79,1.4298273026943207
80,1.5096832206472754
81,1.4382128417491913
82,5.495540810748935
83,1.4278518790379167
84,1.331730774603784
85,1.1442933669313788
86,1.33072489220649
87,1.4282208867371082
88,1.1285752346739173
89,1.324821026995778
90,2.388818446546793
91,1.4250277187675238
92,1.5215821014717221
93,1.7008928088471293
94,1.6155522409826517
95,1.4370275121182203
96,1.4237432284280658
97,1.5238325614482164
98,1.328532112762332
99,1.53583665471524
100,1.8120065834373236
101,1.4333099219948053
102,1.4290310898795724
103,1.341530555859208
104,1.2387961568310857
105,1.2457259949296713
106,1.3393586929887533
107,1.625744316726923
108,7.858356182463467
109,1.1250126119703054
110,9.577005480416119
