row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,cluster,true_label
3202,followers_count,0,,,0.9509922096633139,0.9999525317269099,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,98.0,0.98989898989899,-1.0,98.0,0.0,4.59511985013459,0.0,1.0,3295.0,0.0,0,0
2465,followers_count,0,,,0.9509922096633139,0.9999715855659942,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,145.0,0.9931506849315068,-1.0,145.0,0.0,4.983606621708336,0.0,1.0,543.0,0.0,0,0
2994,followers_count,0,,,0.9509922096633139,0.9998927476958733,3,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,3065.0,0.9996738421395955,-1.0,3065.0,0.0,8.028129059431759,0.0,1.0,1583.0,0.0,0,0
320,followers_count,0,,,0.9509922096633139,0.9999270685879145,3,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,435.0,0.9977064220183486,-1.0,435.0,0.0,6.077642243349034,0.0,1.0,2123.0,0.0,0,0
4628,followers_count,0,,,0.9509922096633139,0.9999912930995172,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,323.0,0.9969135802469136,-1.0,323.0,0.0,5.780743515792329,0.0,1.0,1666.0,0.0,0,0
4681,followers_count,0,,,0.9509922096633139,0.999912443625353,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,427.0,0.9976635514018691,-1.0,427.0,0.0,6.059123195581797,0.0,1.0,2100.0,0.0,1,0
396,followers_count,0,,,0.9509922096633139,0.9989875124107083,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,7255.0,0.9998621830209482,-1.0,7255.0,0.0,8.889583991794973,0.0,1.0,2851.0,0.0,1,0
2201,followers_count,0,,,0.9509922096633139,0.9999938034408825,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1.0,0.5,-1.0,1.0,0.0,0.6931471805599453,0.0,1.0,1.0,0.0,1,0
3800,followers_count,0,,,0.9509922096633139,0.9847579344163608,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,49244.0,0.9999796933698852,-1.0,49244.0,0.0,10.804563118603802,0.0,1.0,2304.0,0.0,1,0
3621,followers_count,0,,,0.9509922096633139,0.990571227456038,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,30801.0,0.9999675345756769,-1.0,30801.0,0.0,10.335334901918412,0.0,1.0,1592.0,0.0,1,0
