column,n_changed,true_positives,false_negatives,accuracy,recall
friends_count,273,52,221,0.19047619047619047,0.19047619047619047
favourites_count,1,0,1,0.0,0.0
listed_count,121,10,111,0.08264462809917356,0.08264462809917356
has_created_date,8,0,8,0.0,0.0
description_length,712,22,690,0.03089887640449438,0.03089887640449438
screen_name_length,4,0,4,0.0,0.0
name_length,804,39,765,0.048507462686567165,0.048507462686567165
has_description,1,0,1,0.0,0.0
has_location,7,1,6,0.14285714285714285,0.14285714285714285
