n_features,accuracy,precision_int,recall_int,f1_intentional,precision_unint,recall_unint,f1_unintentional,f1_weighted,tp,tn,fp,fn,pred_counts,true_counts,variant,llm_success_chunks,fallback_chunks,status_hist,avg_llm_time_s,total_llm_time_s
1099,0.5205,0.3859,0.8844,0.5373,0.8693,0.3533,0.5024,0.5134,306,266,487,40,"{1: 793, -1: 306}","{1: 346, -1: 753}",zero_shot,404,70,"{'ok': 474, 'api_error': 0, 'parse_error': 0, 'fallback': 70}",2.021,958.14
1099,0.5096,0.3043,0.4335,0.3576,0.6766,0.5445,0.6034,0.526,150,410,343,196,"{1: 493, -1: 606}","{1: 346, -1: 753}",info,404,70,"{'ok': 474, 'api_error': 0, 'parse_error': 0, 'fallback': 70}",1.644,779.41
1099,0.5405,0.223,0.185,0.2022,0.6527,0.7039,0.6773,0.5277,64,530,223,282,"{-1: 812, 1: 287}","{1: 346, -1: 753}",few_shot,408,66,"{'ok': 474, 'api_error': 0, 'parse_error': 0, 'fallback': 66}",1.526,723.47
