feature,intentional_mean,intentional_std,unintentional_mean,unintentional_std,delta
h1_plausible,1.0,0.0,0.5023648216796626,0.5000263673434906,0.49763517832033743
h2_min_edit_distance,0.0,0.0,1.3489541432019307,2.2835405284140244,-1.3489541432019307
h2_is_obfuscation,0.00041649312786339027,0.020408163265306124,0.6192679002413516,0.485615689718071,-0.6188514071134882
h3_distribution_score,0.7688418090843037,0.2743148606008762,0.5046569938831585,0.3738147022519026,0.2641848152011451
h4_coherence_score,0.8211909086753847,0.1584881970924852,0.6814174273866782,0.1745210411657901,0.13977348128870648
h5_error_count,1.863470557582074,0.5726952250004701,1.2091269334015085,0.5033597599490516,0.6543436241805656
h5_codependent_flag,0.4116727462219906,0.4922005871866776,0.016106353061485362,0.1258926701484938,0.39556639316050524
h6_column_importance,0.8149665385871298,0.20034563203915162,0.46778974761870185,0.2874551336512315,0.3471767909684279
h7_mutability,0.8939551849921834,0.30793508868057523,0.8711491755081171,0.3086410793990876,0.022806009484066303
h7_gain_direction,0.8638629690965899,0.1797879921403504,0.4547101792888168,0.29875907027089793,0.4091527898077731
h7_comprehensibility,0.7110995310057321,0.33578476729932544,0.7086284034257958,0.3244347961348757,0.002471127579936283
h8_is_sensitive,0.34210526315789475,0.4744764585184558,0.2010737568707657,0.40082868973188746,0.14103150628712904
h8_is_majority_value,0.20557582073996875,0.404174424861095,0.0,0.0,0.20557582073996875
