feature,importance
h7_gain_direction,0.1369134239865937
h6_column_importance,0.12152695571794381
h5_error_count,0.11030372690666614
h5_codependent_flag,0.07548030318741067
h3_distribution_score,0.06848520037338879
stat_new_value_encoded,0.06151775035534501
h4_coherence_score,0.045137017529243845
h1_plausible,0.04324368118623968
cell_signal_ratio,0.04270071332079078
stat_change_direction,0.029461693548252753
cell_signal_sum,0.02410300850186268
h2_is_obfuscation,0.02362054367818617
stat_relative_change,0.02267131584997728
stat_feature_name_encoded,0.020603362192943214
h2_min_edit_distance,0.019379720744476015
stat_original_value_encoded,0.01587644377513791
stat_original_magnitude,0.01439097578640127
h8_is_sensitive,0.013571896296603688
h8_is_majority_value,0.012179827021796952
row_signal_sum,0.011417057773484984
stat_original_log,0.010930615440826172
signal_C8,0.010542445091054975
stat_new_magnitude,0.007862599886218688
stat_new_log,0.007629657037484682
stat_change_magnitude,0.006733367280034811
signal_C9,0.005209854372678716
h7_comprehensibility,0.0050008998664405465
n_applicable,0.004797485907410566
signal_C16,0.004442287115740816
signal_C5,0.003557760676695272
signal_C15,0.0031921294357752333
h7_mutability,0.0030207301441540625
signal_C4,0.0027832009296257926
signal_C1,0.002697935517989718
signal_C27,0.002683970338246634
signal_C28,0.0017266052942823146
signal_C25,0.0013812348707299541
signal_C18,0.0007702613576461864
signal_C19,0.000715476649843835
signal_C3,0.00044553705417497833
signal_C29,0.0003350937657209414
signal_C17,0.00032126685425714854
signal_C14,0.0002871183235427012
signal_C21,0.00017925217222752304
signal_C26,0.00010250769182352201
signal_C12,6.60891926289461e-05
signal_C2,0.0
signal_C7,0.0
signal_C10,0.0
signal_C11,0.0
signal_C13,0.0
signal_C6,0.0
signal_C22,0.0
signal_C23,0.0
signal_C24,0.0
signal_C20,0.0
signal_C31,0.0
signal_C30,0.0
