algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,sampling_strategy,n_noise,bic,aic,converged,probabilities
K-Means (Normal),15,0.5292976429578073,2.8079750537872314,{'n_clusters': 15},127,197,28059,18207,28256,0.6975339155269951,0.6971970554926387,99.30280294450736,0.8604012972664742,0.8605098844030696,0.8575895291765133,0.8631041834131339,Normal,,,,,
K-Means (Smart),15,0.5292976429578073,2.8079750537872314,{'n_clusters': 15},127,193,28063,18207,28256,0.6975339155269951,0.6830407701019252,99.31695922989807,0.8641984107187399,0.8642680201328946,0.8573033287153181,0.8704578673646283,Smart,,,,,
DBSCAN (Normal),266,0.8422586198042528,3.0448215007781982,"{'eps': np.float64(0.05335550320744951), 'min_samples': 5}",266,514,27742,18207,28256,1.4609765474817378,1.8190826727066818,98.18091732729332,0.8849758488933747,0.8850312547195597,0.8839762934952551,0.8859583288660162,Normal,1743.0,,,,
DBSCAN (Smart),266,0.8422586198042528,3.0448215007781982,"{'eps': np.float64(0.05335550320744951), 'min_samples': 5}",266,514,27742,18207,28256,1.4609765474817378,1.8190826727066818,98.18091732729332,0.8999351164299618,0.9000288973044643,0.8976778474014007,0.9020949425125203,Smart,1743.0,,,,
Hierarchical-Ward (Normal),15,0.5239465570575249,6.672055006027222,"{'n_clusters': 15, 'linkage': 'ward'}",127,202,28054,18207,28256,0.6975339155269951,0.7148924122310306,99.28510758776898,0.8284736579453911,0.8281982335370972,0.83187757668926,0.8249290547915302,Normal,,,,,
Hierarchical-Ward (Smart),15,0.5239465570575249,6.672055006027222,"{'n_clusters': 15, 'linkage': 'ward'}",127,196,28060,18207,28256,0.6975339155269951,0.6936579841449604,99.30634201585504,0.8697077690662866,0.86973394325293,0.8621105830881798,0.8765115179355536,Smart,,,,,
Hierarchical-Average (Normal),15,0.45467986536099425,7.527525424957275,"{'n_clusters': 15, 'linkage': 'average'}",127,211,28045,18207,28256,0.6975339155269951,0.7467440543601359,99.25325594563986,0.8704938491709752,0.8704933002558364,0.8623408126137053,0.877735137682623,Normal,,,,,
Hierarchical-Average (Smart),15,0.45467986536099425,7.527525424957275,"{'n_clusters': 15, 'linkage': 'average'}",127,184,28072,18207,28256,0.6975339155269951,0.6511891279728199,99.34881087202719,0.8084212026218296,0.8058968237608348,0.7758232596915381,0.8327424270697269,Smart,,,,,
GMM (Normal),15,0.4491775861823036,7.201066255569458,{'n_components': 15},127,194,28062,18207,28256,0.6975339155269951,0.6865798414496037,99.31342015855039,0.8721046254721687,0.8721623366707179,0.8653838940774915,0.8781861996402267,Normal,,-2432071.275548232,-2447994.9712724052,True,"[[3.95469151e-006 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.80450532e-010]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 3.02045740e-011
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 4.78993740e-312]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 9.76113762e-272 ... 0.00000000e+000
  1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 9.12361332e-012
  0.00000000e+000 0.00000000e+000]]"
GMM (Smart),15,0.4491775861823036,7.201066255569458,{'n_components': 15},127,197,28059,18207,28256,0.6975339155269951,0.6971970554926387,99.30280294450736,0.851598417620015,0.8517239700683912,0.8463014912151189,0.8565424102528767,Smart,,-2432071.275548232,-2447994.9712724052,True,"[[3.95469151e-006 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.80450532e-010]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 3.02045740e-011
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 4.78993740e-312]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 9.76113762e-272 ... 0.00000000e+000
  1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 9.12361332e-012
  0.00000000e+000 0.00000000e+000]]"
HDBSCAN (Normal),600,0.9305069974325383,4.234145879745483,"{'min_cluster_size': 5, 'min_samples': 5}",600,1060,27196,18207,28256,3.2954358213873784,3.751415628539071,96.24858437146094,0.922378290925136,0.9224539804086369,0.9200530202613142,0.9245721227712866,Normal,1167.0,,,,
HDBSCAN (Smart),600,0.9305069974325383,4.234145879745483,"{'min_cluster_size': 5, 'min_samples': 5}",600,1060,27196,18207,28256,3.2954358213873784,3.751415628539071,96.24858437146094,0.9246580379467568,0.9246992877778701,0.9205166996392412,0.9283891937231329,Smart,1167.0,,,,
