feature,importance
h7_gain_direction,0.17273577381477945
h5_error_count,0.1475321688964424
h6_column_importance,0.10974319804643569
h3_distribution_score,0.09465768352321545
h1_plausible,0.07426554877217191
stat_new_value_encoded,0.06660653237284418
h5_codependent_flag,0.05752911463570383
h4_coherence_score,0.040722868130764374
stat_change_direction,0.036335549165184555
h2_is_obfuscation,0.03305265758194388
stat_feature_name_encoded,0.027841699114685755
stat_relative_change,0.02323777654102924
stat_original_value_encoded,0.021146137205318265
stat_original_log,0.01729183212908153
h2_min_edit_distance,0.015430321884633402
h8_is_majority_value,0.01520065551634007
stat_original_magnitude,0.00982212631151772
stat_change_magnitude,0.00931888747782285
stat_new_magnitude,0.00817602308560165
stat_new_log,0.006302547298444028
h7_comprehensibility,0.0060646552758555124
h8_is_sensitive,0.004570486670553313
h7_mutability,0.002415756549631112
