fold,accuracy,precision,recall,f1,auc
1,0.9418478260869565,0.8947368421052632,0.9318936877076412,0.9129373474369405,0.9856590041810014
2,0.933695652173913,0.9081632653061225,0.8870431893687708,0.8974789915966387,0.977031998883635
3,0.9375,0.9092436974789916,0.8986710963455149,0.9039264828738512,0.9827540401139981
4,0.9342391304347826,0.8835725677830941,0.920265780730897,0.9015459723352319,0.9780517553228602
5,0.9352909189777052,0.9003322259136213,0.9018302828618968,0.9010806317539485,0.9828590744021138
