metric,mean,std
accuracy,0.9365147055346714,0.00331797895682225
precision,0.8992097197174186,0.010566856950386455
recall,0.9079408074029441,0.017927785245137447
f1,0.9033938851993222,0.005811910648629916
auc,0.9812711745807217,0.0036162354590895777
