feature,intentional_mean,unintentional_mean,delta
h1_plausible,0.5646394150880691,0.8969305331179321,-0.332291118029863
h2_min_edit_distance,0.0,0.0,0.0
h2_is_obfuscation,0.0,0.0004152823920265781,-0.0004152823920265781
h3_distribution_score,0.6309671975911801,0.813592811662465,-0.18262561407128486
h4_coherence_score,0.3933923117433401,0.504384546745326,-0.11099223500198585
h5_error_count,2.9614489863742106,1.4449111470113085,1.516537839362902
h5_codependent_flag,0.22333000997008973,0.00678513731825525,0.21654487265183447
h6_column_importance,0.1504652994379728,0.12457795797032037,0.025887341467652425
h7_mutability,1.0,1.0,0.0
h7_gain_direction,0.5,0.5,0.0
h7_comprehensibility,0.5972083748753739,0.5923101777059774,0.004898197169396545
h8_is_sensitive,0.4865403788634098,0.2877221324717286,0.19881824639168116
h8_is_majority_value,0.10601528747092057,0.0004846526655896607,0.10553063480533091
