metric,mean,std
accuracy,0.9883371846553917,0.0022973192996829563
precision,0.978495066283885,0.003958481386467541
recall,0.9857307108958363,0.0036614513875913046
f1,0.9820977744408292,0.003516104478986171
auc,0.9972656884432393,0.0007784999953542031
