feature,intentional_mean,unintentional_mean,delta
h1_plausible,1.0,0.505776310778215,0.49422368922178495
h2_min_edit_distance,0.0,1.3405956426144314,-1.3405956426144314
h2_is_obfuscation,0.0004219409282700422,0.6154307415550669,-0.6150088006267969
h3_distribution_score,0.769428321433529,0.5061863346590115,0.2632419867745175
h4_coherence_score,0.48398611111034817,0.22945898674505977,0.2545271243652884
h5_error_count,1.8686575052854122,1.2111209851466294,0.6575365201387828
h5_codependent_flag,0.4162262156448203,0.016630696965849942,0.39959551867897036
h6_column_importance,0.8166861693959113,0.469343697565619,0.3473424718302923
h7_mutability,0.8932346723044398,0.8716516440269138,0.021583028277526006
h7_gain_direction,0.8640872492606999,0.4574073450255983,0.4066799042351016
h7_comprehensibility,0.712130021141649,0.7081503110321189,0.003979710109530132
h8_is_sensitive,0.3409090909090909,0.2026152088358512,0.13829388207323967
h8_is_majority_value,0.2063953488372093,0.001015615081883966,0.20537973375532534
