fold,accuracy,precision,recall,f1,auc
1,0.9884269181311616,0.9802631578947368,0.9841479524438573,0.982201713909031,0.9966224711491392
2,0.991852487135506,0.9842312746386334,0.9907407407407407,0.987475280158207,0.9977859022909785
3,0.9862778730703259,0.9738562091503268,0.9841479524438573,0.9789750328515112,0.9966442305676124
4,0.9888507718696398,0.9777777777777777,0.988110964332893,0.9829172141918529,0.998371600511627
5,0.9862778730703259,0.9763469119579501,0.9815059445178336,0.9789196310935442,0.99690423769684
