n_features,accuracy,precision_int,recall_int,f1_intentional,precision_unint,recall_unint,f1_unintentional,f1_weighted,tp,tn,fp,fn,pred_counts,true_counts,variant,llm_success_chunks,fallback_chunks,status_hist,avg_llm_time_s,total_llm_time_s
1099,0.4923,0.354,0.7428,0.4795,0.7614,0.3772,0.5044,0.4966,257,284,469,89,"{1: 726, -1: 373}","{1: 346, -1: 753}",zero_shot,523,153,"{'ok': 676, 'http_error': 0, 'fallback': 153}",1.557,1052.49
1099,0.5569,0.2896,0.2803,0.2849,0.6741,0.6839,0.679,0.5549,97,515,238,249,"{1: 335, -1: 764}","{1: 346, -1: 753}",info,523,153,"{'ok': 676, 'http_error': 0, 'fallback': 153}",1.612,1089.57
1099,0.5287,0.3245,0.4595,0.3804,0.6929,0.5604,0.6197,0.5443,159,422,331,187,"{1: 490, -1: 609}","{1: 346, -1: 753}",few_shot,676,0,"{'ok': 676, 'http_error': 0, 'fallback': 0}",3.465,2342.66
