row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,cluster,true_label
1552,protected,1,,,0.9931143290278304,1.0,1,0,0.0,1.0,0.4989531304430075,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5,0
2412,name_length,1,,,0.9986621203827577,0.9578573563908629,2,1,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,2.0,0.15384615384615385,1.0,12.0,14.0,2.5649493574615367,2.70805020110221,15.0,2.0,4.0,6,1
104,name_length,1,,,0.5130467205311984,0.5461561457477533,2,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,1.0,0.14285714285714285,-1.0,6.0,5.0,1.9459101490553132,1.791759469228055,15.0,46.0,43.0,6,0
2235,name_length,1,,,0.6209612538315448,0.8541216182760635,2,1,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,2.0,0.2,-1.0,9.0,7.0,2.302585092994046,2.0794415416798357,15.0,49.0,47.0,6,1
1930,description_length,1,,,0.5876575383420974,0.9932370187346,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,14.0,7.0,1.0,1.0,15.0,0.6931471805599453,2.772588722239781,13.0,1.0,57.0,6,1
320,description_length,1,,,0.5876575383420974,0.5710846092206875,3,1,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,14.0,7.0,1.0,1.0,15.0,0.6931471805599453,2.772588722239781,13.0,1.0,57.0,6,1
1129,followers_count,0,,,0.0,0.0,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,197073.0,0.004929815426037434,-1.0,39975735.0,39778662.0,17.503783228021994,17.498841220971077,1.0,1999.0,1988.0,7,0
3611,friends_count,0,,,0.0,0.2943077325620501,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,259.0,0.0018686868686868688,-1.0,138599.0,138340.0,11.83934736573794,11.837476930695749,2.0,356.0,353.0,8,0
4662,followers_count,0,,,0.0,0.0,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,194792.0,0.0017329762366016107,-1.0,112403156.0,112208364.0,18.53760258221804,18.535868102641032,1.0,186.0,180.0,9,0
1190,statuses_count,1,,,0.9982050951550893,0.9138885141434817,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,24277.0,39.7983606557377,1.0,609.0,24886.0,6.413458957167357,10.122100857763806,4.0,2838.0,1400.0,10,1
2853,statuses_count,1,,,0.9990218274489105,0.9606032544016152,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,24277.0,66.5123287671233,1.0,364.0,24641.0,5.8998973535824915,10.112207583184613,4.0,1994.0,1382.0,11,1
2992,followers_count,0,,,0.7927156841145896,0.9982229181302331,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,194960.0,0.050378002983506476,-1.0,3869942.0,3674982.0,15.168750336215325,15.117059064768034,1.0,1954.0,1866.0,12,0
1441,followers_count,1,,,0.9572077595536383,0.9712114168263098,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,237156.0,0.7268436505844638,-1.0,326281.0,89125.0,12.695517317100279,11.397806377850005,1.0,1681.0,3169.0,12,0
581,followers_count,1,,,0.9595197000239233,0.7838411696193284,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,240991.0,0.6633972714359646,-1.0,363267.0,122276.0,12.802896132854528,11.71404424184709,1.0,1850.0,304.0,12,0
2799,followers_count,0,,,0.7869641821229493,0.8047198334754488,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,193218.0,0.04890762887934002,-1.0,3950671.0,3757453.0,15.189396248989697,15.13925215835203,1.0,1982.0,1906.0,12,0
3854,followers_count,1,,,0.9580929654415249,0.9312089144288033,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,242450.0,0.7042458077840293,-1.0,344268.0,101818.0,12.749178607515203,11.530952006154907,1.0,1758.0,28.0,12,0
1053,followers_count,0,,,0.0,0.0,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,196294.0,0.0022554280868438744,-1.0,87031814.0,86835520.0,18.281784299425865,18.27952632403019,1.0,3119.0,3114.0,13,0
2246,verified,1,,,0.8099520068218187,1.0,4,1,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14,0
