column,n_changed,true_positives,false_negatives,accuracy,recall
friends_count,273,270,3,0.989010989010989,0.989010989010989
favourites_count,1,1,0,1.0,1.0
listed_count,121,116,5,0.9586776859504132,0.9586776859504132
has_created_date,8,2,6,0.25,0.25
description_length,712,327,385,0.4592696629213483,0.4592696629213483
screen_name_length,4,4,0,1.0,1.0
name_length,804,364,440,0.4527363184079602,0.4527363184079602
has_description,1,1,0,1.0,1.0
has_location,7,4,3,0.5714285714285714,0.5714285714285714
