metric,mean,std
accuracy,0.979815567013109,0.0029753022674363677
precision,0.922169691709026,0.007825334702860794
recall,0.9626667736156787,0.012250140135509284
f1,0.9419599643286173,0.00866902246297707
auc,0.9946578747673638,0.0032357777573512906
