feature,intentional_mean,unintentional_mean,delta
h1_plausible,0.06222547584187409,0.06381381381381382,-0.0015883379719397323
h2_min_edit_distance,4.385882352941176,8.68559774082209,-4.299715387880913
h2_is_obfuscation,0.0,0.0018826482585503608,-0.0018826482585503608
h3_distribution_score,0.05269038764438808,0.04869374939608437,0.003996638248303715
h4_coherence_score,0.3594144613474078,0.2544801933039917,0.1049342680434161
h5_error_count,3.9282576866764276,1.5021021021021022,2.4261555845743255
h5_codependent_flag,0.2891654465592972,0.19039039039039038,0.09877505616890683
h6_column_importance,0.17884746213135516,0.23756168903696964,-0.05871422690561448
h7_mutability,0.9956076134699854,0.9995495495495496,-0.003941936079564168
h7_gain_direction,0.5,0.5,0.0
h7_comprehensibility,0.9030014641288433,0.8394594594594593,0.06354200466938398
h8_is_sensitive,0.0,0.0,0.0
h8_is_majority_value,0.0,0.0,0.0
