metric,mean,std
accuracy,0.9501334192123666,0.012560929236645067
precision,0.9601037059630929,0.021905483872519678
recall,0.9140275387263339,0.01597165651555785
f1,0.936413562332277,0.01610843400117707
auc,0.9746795597135083,0.008458630538809204
