feature,intentional_mean,unintentional_mean,delta
h1_plausible,0.2720763723150358,0.7644230769230769,-0.4923467046080411
h2_min_edit_distance,,,
h2_is_obfuscation,,,
h3_distribution_score,0.9643315140248647,0.8643004834282915,0.10003103059657326
h4_coherence_score,0.9192934757840074,0.7963268174862775,0.1229666582977299
h5_error_count,3.0692124105011933,2.6586538461538463,0.41055856434734705
h5_codependent_flag,0.21241050119331742,0.719551282051282,-0.5071407808579647
h6_column_importance,0.1650973812932247,0.46915918379523713,-0.3040618025020124
h7_mutability,1.0,1.0,0.0
h7_gain_direction,0.5,0.5,0.0
h7_comprehensibility,0.9097852028639618,0.9108974358974359,-0.0011122330334740749
h8_is_sensitive,0.11694510739856802,0.004807692307692308,0.11213741509087571
h8_is_majority_value,0.0,0.0,0.0
