dataset,rows,errors,intentional,unintentional,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,fit_time_s,compute_time_s
LLM (tenth-trial),19539,43259,18014,25245,0.9204789298782025,0.0014444938405402533,0.9128209531777877,0.002712274877796677,0.8944709533960763,0.002284403994698326,0.9035498634299459,0.001717522107130129,0.9729311678609147,0.00038491711942094717,1065.1831090450287,1132.2983448505402
Kireev (mixed_error_pipeline),48842,11661,3838,7823,0.9896233399674592,0.0014364511712541184,0.9843772493857254,0.003500414107202856,0.9841064347023034,0.004453476965460517,0.9842327006234036,0.002190129551424538,0.9983512759461396,0.00039652170857266733,317.24193382263184,309.8199772834778
