metric,mean,std
accuracy,0.9204789298782025,0.0014444938405402533
precision,0.9128209531777877,0.002712274877796677
recall,0.8944709533960763,0.002284403994698326
f1,0.9035498634299459,0.001717522107130129
auc,0.9729311678609147,0.00038491711942094717
