feature,intentional_mean,intentional_std,unintentional_mean,unintentional_std,delta
h1_plausible,0.7646830243144221,0.42420854099445204,0.1349178055060408,0.341642524779943,0.6297652188083813
h2_min_edit_distance,1.3992864424057085,2.488407110279103,1.3601665020459996,1.21656149580381,0.039119940359708893
h2_is_obfuscation,0.2342507645259939,0.4235512139769864,0.001693241145759842,0.04111560953440919,0.23255752338023405
h3_distribution_score,0.6790605673987709,0.37786186695563007,0.1324579195284207,0.2907565148917608,0.5466026478703502
h4_coherence_score,0.823555037330916,0.15186328696402845,0.62835953341901,0.2536917292677532,0.195195503911906
h5_error_count,2.537359831242367,0.6636862796517022,2.378094672212319,0.5569345877848162,0.1592651590300478
h5_codependent_flag,0.6328966359498168,0.4820284042785141,0.6427807486631016,0.4791896843451307,-0.00988411271328482
h6_column_importance,0.666352025650693,0.303734278154619,0.6589406657038531,0.2985963682382565,0.007411359946839835
h7_mutability,0.8469246141889641,0.3259825475516767,0.9284808873044167,0.2304486267309873,-0.08155627311545255
h7_gain_direction,0.6604972289131102,0.26338038434158517,0.5479132175138091,0.06179737646366802,0.11258401139930119
h7_comprehensibility,0.5179749084045742,0.3653753196709499,0.5252604476133889,0.3466228753349558,-0.007285539208814695
h8_is_sensitive,0.2812257133340735,0.449609867849469,0.22959001782531194,0.42057751757797196,0.05163569550876154
h8_is_majority_value,0.08104807372043966,0.27291650411509855,0.0,0.0,0.08104807372043966
