Strategy,Accuracy,Macro_F1,Macro_Precision,Macro_Recall
Probability_0.5_Run1,0.5005662514156285,0.49993992487117556,0.5002245209372783,0.5002252817580549
Random_Guessing_Run1,0.49904445073612685,0.49836619022742024,0.4986206375058516,0.49861606206119397
Probability_0.4_Run1,0.5057686862967158,0.49640475376048043,0.4994185742788734,0.4994431166263277
Probability_0.6_Run1,0.4925679501698754,0.4904818500528173,0.49804517664109565,0.4981070495213884
Probability_0.7_Run1,0.48839184597961494,0.4741632580054003,0.4998730526512971,0.4998918073402934
Constant_Guessing_Always_Unintentional,0.5296220271800679,0.34624372411559196,0.26481101359003395,0.5
Constant_Guessing_Always_Intentional,0.47037797281993204,0.31990276072881313,0.23518898640996602,0.5
