feature,importance
h7_gain_direction,0.15319115639402356
h5_error_count,0.1418463427827342
h6_column_importance,0.1412769788371657
h5_codependent_flag,0.09510076791345391
h3_distribution_score,0.08815263480010643
h1_plausible,0.06415112999362091
h4_coherence_score,0.043760951709371006
cell_signal_ratio,0.037740329216327605
h2_is_obfuscation,0.03705726499750146
cell_signal_sum,0.030936808699364136
h2_min_edit_distance,0.023310100508778596
row_signal_sum,0.022229426638104784
h8_is_majority_value,0.017447437243421567
h8_is_sensitive,0.01509602687449101
h7_comprehensibility,0.015044098655680632
n_applicable,0.011803356715521103
signal_C15,0.009307386872996915
signal_C5,0.008055875947815266
signal_C4,0.006833371562701368
signal_C1,0.0067853974510771785
signal_C16,0.006542545482770448
signal_C8,0.005838565611399311
signal_C9,0.0051923054054439964
h7_mutability,0.0043900194310679316
signal_C27,0.002105678340953017
signal_C3,0.0016659332517188108
signal_C25,0.0011312140334414809
signal_C28,0.0010007201961881442
signal_C14,0.0009413584449757588
signal_C17,0.000556718261426803
signal_C21,0.0005536637229875761
signal_C18,0.000514805998366723
signal_C29,0.00020513483708361246
signal_C19,0.00013765601937669613
signal_C26,7.504573424248154e-05
signal_C12,2.179141429986729e-05
signal_C2,0.0
signal_C7,0.0
signal_C10,0.0
signal_C11,0.0
signal_C13,0.0
signal_C6,0.0
signal_C22,0.0
signal_C23,0.0
signal_C24,0.0
signal_C20,0.0
signal_C31,0.0
signal_C30,0.0
