algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,n_noise,bic,aic,converged,probabilities
K-Means,15,0.48250384667646445,0.11459589004516602,{'n_clusters': 15},15,40,1148,441,1188,3.4013605442176873,3.3670033670033668,96.63299663299664,1.0,1.0,1.0,0.0,,,,,
DBSCAN,19,0.47719006062248204,0.017611980438232422,"{'eps': np.float64(0.6786582453197786), 'min_samples': 5}",19,54,1134,441,1188,4.308390022675737,4.545454545454546,95.45454545454545,1.0,1.0,1.0,0.0,28.0,,,,
Hierarchical-Ward,15,0.48156353106595756,0.01049041748046875,"{'n_clusters': 15, 'linkage': 'ward'}",15,39,1149,441,1188,3.4013605442176873,3.2828282828282833,96.71717171717171,1.0,1.0,1.0,0.0,,,,,
Hierarchical-Average,15,0.3953991880065632,0.010160207748413086,"{'n_clusters': 15, 'linkage': 'average'}",15,42,1146,441,1188,3.4013605442176873,3.535353535353535,96.46464646464646,1.0,1.0,1.0,0.0,,,,,
GMM,15,0.3354238861928775,0.3453030586242676,{'n_components': 15},15,42,1146,441,1188,3.4013605442176873,3.535353535353535,96.46464646464646,1.0,1.0,1.0,0.0,,-31499.42021963517,-35543.4856014521,True,"[[1.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 2.92077800e-08 ... 0.00000000e+00
  0.00000000e+00 9.99999971e-01]
 [0.00000000e+00 0.00000000e+00 9.72400233e-13 ... 0.00000000e+00
  0.00000000e+00 1.00000000e+00]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  1.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 9.99816507e-01 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 6.96933199e-09 ... 0.00000000e+00
  0.00000000e+00 1.19006793e-07]]"
HDBSCAN,24,0.6166580290864981,0.016208410263061523,"{'min_cluster_size': 5, 'min_samples': 5}",24,64,1124,441,1188,5.442176870748299,5.387205387205387,94.61279461279462,1.0,1.0,1.0,0.0,50.0,,,,
